MNC5687700	[PF00569.7;ZZ]
MNC5689756	[PF00156.12;Pribosyltran]
MNC5689751	[PF00106.12;adh_short]
MNC5691969	[PF00071.11;Ras]
MNC5691975	[PF00145.7;DNA_methylase]
MNC5697077	[PF00043.12;GST_C]
MNC5697078	[PF00935.8;Ribosomal_L44]
MNC5697528	[PF00928.9;Adap_comp_sub]
MNC5697525	[PF00113.9;Enolase_C]
MNC5697074	[PF06201.1;DUF1000]
MNC5697075	[PF01073.7;3Beta_HSD]
MNC5697076	[PF04852.2;DUF640]
MNC5697069	[PF00538.7;Linker_histone]
MNC5697070	[PF00550.10;PP-binding]
MNC5697071	[PF01596.7;Methyltransf_3]
MNC5693102	[PF00368.8;HMG-CoA_red]
MNC5697676	[PF00702.11;Hydrolase]
MNC5688403	[PF00582.13;Usp]
MNC5693099	[PF04653.2;Nin1_C]
MNC5693104	[PF00006.11;ATP-synt_ab]
MNC5697670	[PF00091.14;Tubulin]
MNC5694997	[PF03171.8;2OG-FeII_Oxy]
MNC5694990	[PF03138.4;DUF246]
MNC5694992	[PF04811.3;Sec23_trunk]
MNC5694994	[PF00004.15;AAA]
MNC5694996	[PF01167.7;Tub]
MNC5698030	[PF00083.11;Sugar_tr]
MNC5698033	[PF03467.4;Smg4_UPF3]
MNC5693754	[PF03151.5;DUF250]
MNC5693753	[PF03005.5;DUF231]
MNC5693758	[PF00125.10;Histone]
MNC5693757	[PF01486.7;K-box]
MNC5691403	[PF00043.12;GST_C]
MNC5695747	[PF01756.6;ACOX]
MNC5695748	[PF01597.7;GCV_H]
MNC5695745	[PF01248.11;Ribosomal_L7Ae]
MNC5695746	[PF04520.2;DUF584]
MNC5695251	[PF01501.8;Glyco_transf_8]
MNC5695249	[PF02704.4;GASA]
MNC5695255	[PF00011.8;HSP20]
MNC5695256	[PF01218.8;Coprogen_oxidas]
MNC5695254	[PF01398.9;Mov34]
MNC5695257	[PF00043.12;GST_C]
MNC5687160	[PF05739.6;SNARE]
MNC5687163	[PF03720.3;UDPG_MGDP_dh_C]
MNC5688203	[PF00224.9;PK]
MNC5697093	[PF00120.11;Gln-synt_C]
MNC5688469	[PF06592.2;DUF1138]
MNC5688344	[PF00043.12;GST_C]
MNC5694148	[PF01490.7;Aa_trans]
MNC5694147	[PF00561.8;Abhydrolase_1]
MNC5694140	[PF00069.12;Pkinase]
MNC5694139	[PF00169.14;PH]
MNC5691158	[PF05627.1;NOI]
MNC5690835	[PF02823.5;ATP-synt_DE_N]
MNC5692165	[PF02492.7;cobW]
MNC5692431	[PF07719.2;TPR_2]
MNC5692162	[PF05899.2;Cupin_3]
MNC5692433	[PF03649.3;UPF0014]
MNC5692435	[PF01061.9;ABC2_membrane]
MNC5692168	[PF00862.9;Sucrose_synth]
MNC5692167	[PF01159.7;Ribosomal_L6e]
MNC5698266	[PF03643.4;Vps26]
MNC5698263	[PF03098.5;An_peroxidase]
MNC5698264	[PF00069.12;Pkinase]
MNC5698261	[PF01490.7;Aa_trans]
MNC5698259	[PF04043.3;PMEI]
MNC5688736	[PF00201.8;UDPGT]
MNC5688262	[PF02704.4;GASA]
MNC5688263	[PF00076.9;RRM_1]
MNC5688264	[PF00582.13;Usp]
MNC5688265	[PF03900.4;Porphobil_deamC]
MNC5688730	[PF00501.13;AMP-binding]
MNC5697365	[PF00022.7;Actin]
MNC5688738	[PF05653.2;DUF803]
MNC5697286	[PF03719.3;Ribosomal_S5_C]
MNC5697283	[PF03637.5;Mob1_phocein]
MNC5697281	[PF00004.15;AAA]
MNC5697280	[PF00009.12;GTP_EFTU]
MNC5697288	[PF00173.13;Cyt-b5]
MNC5697287	[PF01280.9;Ribosomal_L19e]
MNC5697152	[PF03947.6;Ribosomal_L2_C]
MNC5693968	[PF01439.7;Metallothio_2]
MNC5693964	[PF00291.12;PALP]
MNC5693959	[PF00076.9;RRM_1]
MNC5690420	[PF07690.3;MFS_1]
MNC5695557	[PF00789.9;UBX]
MNC5695549	[PF00892.8;DUF6]
MNC5695551	[PF01336.10;tRNA_anti]
MNC5695553	[PF00334.7;NDK]
MNC5696933	[PF00085.8;Thioredoxin]
MNC5696934	[PF00515.14;TPR_1]
MNC5696935	[PF01200.8;Ribosomal_S28e]
MNC5696936	[PF01781.6;Ribosomal_L38e]
MNC5696929	[PF02453.7;Reticulon]
MNC5696930	[PF00828.8;Ribosomal_L18e]
MNC5696931	[PF01883.7;DUF59]
MNC5696937	[PF00125.10;Histone]
MNC5690424	[PF03081.5;Exo70]
MNC5694734	[PF00067.10;p450]
MNC5694735	[PF03091.4;CutA1]
MNC5694736	[PF02458.5;Transferase]
MNC5694729	[PF04674.2;Phi_1]
MNC5694731	[PF03005.5;DUF231]
MNC5694737	[PF00732.8;GMC_oxred_N]
MNC5695413	[PF00179.14;UQ_con]
MNC5695416	[PF04398.2;DUF538]
MNC5695415	[PF01490.7;Aa_trans]
MNC5695410	[PF00022.7;Actin]
MNC5690680	[PF00026.12;Asp]
MNC5695412	[PF00241.8;Cofilin_ADF]
MNC5690687	[PF03936.4;Terpene_synth_C]
MNC5695417	[PF00847.8;AP2]
MNC5696648	[PF03171.8;2OG-FeII_Oxy]
MNC5696642	[PF04398.2;DUF538]
MNC5696639	[PF00097.10;zf-C3HC4]
MNC5690308	[PF00031.9;Cystatin]
MNC5696645	[PF03055.4;RPE65]
MNC5696646	[PF00230.8;MIP]
MNC5692995	[PF00295.7;Glyco_hydro_28]
MNC5692996	[PF00069.12;Pkinase]
MNC5692993	[PF00190.10;Cupin_1]
MNC5692991	[PF05008.3;V-SNARE]
MNC5692989	[PF01426.6;BAH]
MNC5696628	[PF00076.9;RRM_1]
MNC5695239	[PF00504.11;Chloroa_b-bind]
MNC5690502	[PF01423.10;LSM]
MNC5690503	[PF00428.7;Ribosomal_60s]
MNC5690505	[PF02797.5;Chal_sti_synt_C]
MNC5691612	[PF01380.10;SIS]
MNC5691616	[PF01336.10;tRNA_anti]
MNC5691614	[PF00201.8;UDPGT]
MNC5691613	[PF02716.4;Isoflavone_redu]
MNC5689304	[PF03650.3;UPF0041]
MNC5689305	[PF00254.14;FKBP_C]
MNC5689302	[PF00022.7;Actin]
MNC5689552	[PF00248.9;Aldo_ket_red]
MNC5689550	[PF00957.8;Synaptobrevin]
MNC5689308	[PF00578.7;AhpC-TSA]
MNC5687480	[PF02716.4;Isoflavone_redu]
MNC5691644	[PF00899.9;ThiF]
MNC5691645	[PF02779.10;Transket_pyr]
MNC5691640	[PF00781.10;DAGK_cat]
MNC5691642	[PF00931.11;NB-ARC]
MNC5691641	[PF02320.5;UCR_hinge]
MNC5692645	[PF00754.13;F5_F8_type_C]
MNC5692644	[PF00125.10;Histone]
MNC5692641	[PF03357.8;SNF7]
MNC5693467	[PF00067.10;p450]
MNC5693462	[PF00903.12;Glyoxalase]
MNC5689774	[PF01014.8;Uricase]
MNC5691994	[PF05755.1;REF]
MNC5691996	[PF01929.6;Ribosomal_L14e]
MNC5691990	[PF00650.8;CRAL_TRIO]
MNC5688989	[PF04570.3;DUF581]
MNC5688996	[PF01373.7;Glyco_hydro_14]
MNC5697097	[PF00466.7;Ribosomal_L10]
MNC5697098	[PF04811.3;Sec23_trunk]
MNC5693217	[PF03244.3;PSI_PsaH]
MNC5693214	[PF03357.8;SNF7]
MNC5697092	[PF00240.11;ubiquitin]
MNC5693215	[PF00134.10;Cyclin_N]
MNC5697095	[PF00838.7;TCTP]
MNC5693209	[PF02458.5;Transferase]
MNC5693212	[PF05564.2;Auxin_repressed]
MNC5697399	[PF00355.14;Rieske]
MNC5697400	[PF00175.9;NAD_binding_1]
MNC5697402	[PF00887.8;ACBP]
MNC5697406	[PF03016.4;Exostosin]
MNC5697408	[PF01556.7;DnaJ_C]
MNC5696721	[PF03501.4;S10_plectin]
MNC5692101	[PF04137.5;ERO1]
MNC5692102	[PF04043.3;PMEI]
MNC5692103	[PF03171.8;2OG-FeII_Oxy]
MNC5687821	[PF00004.15;AAA]
MNC5694972	[PF00295.7;Glyco_hydro_28]
MNC5694969	[PF02704.4;GASA]
MNC5694970	[PF00407.8;Bet_v_I]
MNC5694973	[PF00012.7;HSP70]
MNC5694978	[PF07189.1;SF3b10]
MNC5697944	[PF02365.5;NAM]
MNC5697946	[PF03953.6;Tubulin_C]
MNC5694502	[PF01439.7;Metallothio_2]
MNC5694508	[PF00702.11;Hydrolase]
MNC5698050	[PF01749.9;IBB]
MNC5698049	[PF01582.8;TIR]
MNC5698051	[PF00091.14;Tubulin]
MNC5698054	[PF02985.7;HEAT]
MNC5698056	[PF02985.7;HEAT]
MNC5698055	[PF00759.8;Glyco_hydro_9]
MNC5698058	[PF00201.8;UDPGT]
MNC5696263	[PF01428.6;zf-AN1]
MNC5691042	[PF02365.5;NAM]
MNC5691044	[PF01667.6;Ribosomal_S27e]
MNC5691048	[PF00141.10;peroxidase]
MNC5691381	[PF00615.8;RGS]
MNC5691382	[PF00107.13;ADH_zinc_N]
MNC5691384	[PF04926.3;PAP_RNA-bind]
MNC5695273	[PF01842.10;ACT]
MNC5695274	[PF00504.11;Chloroa_b-bind]
MNC5695723	[PF03650.3;UPF0041]
MNC5695724	[PF05562.1;WCOR413]
MNC5695721	[PF03181.5;BURP]
MNC5695722	[PF01248.11;Ribosomal_L7Ae]
MNC5695271	[PF00311.7;PEPcase]
MNC5695720	[PF07002.3;Copine]
MNC5695728	[PF04520.2;DUF584]
MNC5687271	[PF00332.8;Glyco_hydro_17]
MNC5687275	[PF00160.10;Pro_isomerase]
MNC5695890	[PF00347.11;Ribosomal_L6]
MNC5690851	[PF00702.11;Hydrolase]
MNC5690365	[PF03105.8;SPX]
MNC5690363	[PF00026.12;Asp]
MNC5693096	[PF00226.16;DnaJ]
MNC5690368	[PF00234.9;Tryp_alpha_amyl]
MNC5694120	[PF06645.3;SPC12]
MNC5694119	[PF01680.6;SOR_SNZ]
MNC5687799	[PF05705.4;DUF829]
MNC5694124	[PF00400.17;WD40]
MNC5694126	[PF00800.8;PDT]
MNC5694125	[PF00400.17;WD40]
MNC5694128	[PF00249.16;Myb_DNA-binding]
MNC5694127	[PF07899.1;Frigida]
MNC5692187	[PF01429.9;MBD]
MNC5692182	[PF01277.7;Oleosin]
MNC5692181	[PF00416.10;Ribosomal_S13]
MNC5692186	[PF00036.17;efhand]
MNC5692185	[PF00892.8;DUF6]
MNC5692622	[PF00891.7;Methyltransf_2]
MNC5688907	[PF00300.10;PGAM]
MNC5688904	[PF02705.5;K_trans]
MNC5688902	[PF00306.12;ATP-synt_ab_C]
MNC5688900	[PF00326.8;Peptidase_S9]
MNC5691076	[PF01798.6;Nop]
MNC5693289	[PF00266.8;Aminotran_5]
MNC5693291	[PF05047.5;L51_S25_CI-B8]
MNC5693295	[PF06830.1;Root_cap]
MNC5693296	[PF00635.12;Motile_Sperm]
MNC5692956	[PF00226.16;DnaJ]
MNC5695097	[PF00657.10;Lipase_GDSL]
MNC5688288	[PF00534.9;Glycos_transf_1]
MNC5688285	[PF00240.11;ubiquitin]
MNC5697268	[PF00107.13;ADH_zinc_N]
MNC5697737	[PF05221.5;AdoHcyase]
MNC5697264	[PF00113.9;Enolase_C]
MNC5697735	[PF00314.7;Thaumatin]
MNC5697266	[PF00862.9;Sucrose_synth]
MNC5697265	[PF00218.11;IGPS]
MNC5697260	[PF00903.12;Glyoxalase]
MNC5697259	[PF01564.6;Spermine_synth]
MNC5697729	[PF00234.9;Tryp_alpha_amyl]
MNC5695089	[PF02894.5;GFO_IDH_MocA_C]
MNC5695091	[PF00400.17;WD40]
MNC5695092	[PF00274.8;Glycolytic]
MNC5697969	[PF02386.6;TrkH]
MNC5697972	[PF00149.14;Metallophos]
MNC5697974	[PF00169.14;PH]
MNC5697973	[PF02728.4;Cu_amine_oxidN3]
MNC5696447	[PF00638.8;Ran_BP1]
MNC5696957	[PF07059.1;DUF1336]
MNC5696411	[PF02469.8;Fasciclin]
MNC5696956	[PF00454.13;PI3_PI4_kinase]
MNC5696409	[PF00862.9;Sucrose_synth]
MNC5696415	[PF00036.17;efhand]
MNC5696416	[PF00011.8;HSP20]
MNC5696413	[PF01070.7;FMN_dh]
MNC5694758	[PF01717.6;Methionine_synt]
MNC5694756	[PF00313.9;CSD]
MNC5694754	[PF04718.4;ATP-synt_G]
MNC5694752	[PF00400.17;WD40]
MNC5690667	[PF01439.7;Metallothio_2]
MNC5690668	[PF00152.8;tRNA-synt_2]
MNC5690665	[PF00234.9;Tryp_alpha_amyl]
MNC5690151	[PF00230.8;MIP]
MNC5690152	[PF00722.9;Glyco_hydro_16]
MNC5690153	[PF00719.8;Pyrophosphatase]
MNC5690766	[PF04646.2;DUF604]
MNC5696668	[PF00230.8;MIP]
MNC5690229	[PF00227.13;Proteasome]
MNC5696666	[PF00069.12;Pkinase]
MNC5696660	[PF04720.2;DUF506]
MNC5696661	[PF00082.10;Peptidase_S8]
MNC5696662	[PF00366.8;Ribosomal_S17]
MNC5690231	[PF03005.5;DUF231]
MNC5690762	[PF01501.8;Glyco_transf_8]
MNC5693011	[PF00120.11;Gln-synt_C]
MNC5693012	[PF02949.10;7tm_6]
MNC5693014	[PF00180.7;Iso_dh]
MNC5689365	[PF04755.2;PAP_fibrillin]
MNC5689538	[PF01269.7;Fibrillarin]
MNC5689536	[PF00069.12;Pkinase]
MNC5696147	[PF06552.1;TOM20_plant]
MNC5689529	[PF00069.12;Pkinase]
MNC5689532	[PF03981.2;Ubiq_cyt_C_chap]
MNC5687464	[PF04055.6;Radical_SAM]
MNC5697526	[PF00759.8;Glyco_hydro_9]
MNC5697523	[PF00235.7;Profilin]
MNC5695132	[PF02713.4;DUF220]
MNC5695131	[PF01293.8;PEPCK_ATP]
MNC5697524	[PF00534.9;Glycos_transf_1]
MNC5695136	[PF00061.11;Lipocalin]
MNC5695134	[PF00400.17;WD40]
MNC5695133	[PF00141.10;peroxidase]
MNC5697521	[PF00120.11;Gln-synt_C]
MNC5691664	[PF00514.10;Arm]
MNC5691662	[PF00069.12;Pkinase]
MNC5691659	[PF00257.8;Dehydrin]
MNC5693484	[PF04573.2;SPC22]
MNC5693483	[PF07816.1;DUF1645]
MNC5693486	[PF00083.11;Sugar_tr]
MNC5693480	[PF00505.7;HMG_box]
MNC5697029	[PF02605.4;PsaL]
MNC5697030	[PF01253.10;SUI1]
MNC5697031	[PF03619.6;DUF300]
MNC5697034	[PF03372.8;Exo_endo_phos]
MNC5697035	[PF00141.10;peroxidase]
MNC5697037	[PF04484.2;DUF566]
MNC5697038	[PF00400.17;WD40]
MNC5689790	[PF00484.8;Pro_CA]
MNC5689793	[PF03140.4;DUF247]
MNC5689796	[PF00551.8;Formyl_trans_N]
MNC5689795	[PF00152.8;tRNA-synt_2]
MNC5689798	[PF00141.10;peroxidase]
MNC5689797	[PF01145.11;Band_7]
MNC5691930	[PF00931.11;NB-ARC]
MNC5691938	[PF03547.6;Auxin_eff]
MNC5692223	[PF00498.12;FHA]
MNC5692225	[PF07731.1;Cu-oxidase_2]
MNC5692226	[PF01073.7;3Beta_HSD]
MNC5694954	[PF00004.15;AAA]
MNC5694956	[PF00180.7;Iso_dh]
MNC5694950	[PF00481.9;PP2C]
MNC5694957	[PF00025.10;Arf]
MNC5694958	[PF00092.13;VWA]
MNC5697919	[PF00069.12;Pkinase]
MNC5697925	[PF04564.3;U-box]
MNC5696351	[PF00227.13;Proteasome]
MNC5688712	[PF00153.13;Mito_carr]
MNC5688715	[PF05637.2;Glyco_transf_34]
MNC5696117	[PF00043.12;GST_C]
MNC5696109	[PF03947.6;Ribosomal_L2_C]
MNC5696112	[PF00314.7;Thaumatin]
MNC5696116	[PF05051.2;COX17]
MNC5696115	[PF02779.10;Transket_pyr]
MNC5688544	[PF00082.10;Peptidase_S8]
MNC5688546	[PF01248.11;Ribosomal_L7Ae]
MNC5691020	[PF00201.8;UDPGT]
MNC5691019	[PF00271.16;Helicase_C]
MNC5688542	[PF00149.14;Metallophos]
MNC5688541	[PF00400.17;WD40]
MNC5688547	[PF00036.17;efhand]
MNC5691366	[PF00305.7;Lipoxygenase]
MNC5691363	[PF00035.10;dsrm]
MNC5691368	[PF00240.11;ubiquitin]
MNC5696910	[PF00504.11;Chloroa_b-bind]
MNC5696909	[PF00022.7;Actin]
MNC5696912	[PF00134.10;Cyclin_N]
MNC5696913	[PF01716.7;MSP]
MNC5696916	[PF00366.8;Ribosomal_S17]
MNC5696915	[PF00067.10;p450]
MNC5688269	[PF00107.13;ADH_zinc_N]
MNC5694152	[PF00069.12;Pkinase]
MNC5695295	[PF05903.2;DUF862]
MNC5695296	[PF03909.4;BSD]
MNC5695293	[PF00294.11;PfkB]
MNC5695291	[PF00227.13;Proteasome]
MNC5695289	[PF01428.6;zf-AN1]
MNC5690599	[PF00332.8;Glyco_hydro_17]
MNC5690603	[PF00903.12;Glyoxalase]
MNC5690607	[PF01336.10;tRNA_anti]
MNC5692852	[PF04652.4;DUF605]
MNC5692854	[PF00635.12;Motile_Sperm]
MNC5694712	[PF01490.7;Aa_trans]
MNC5694716	[PF00481.9;PP2C]
MNC5694715	[PF03737.4;Methyltransf_6]
MNC5694718	[PF02797.5;Chal_sti_synt_C]
MNC5694717	[PF01333.9;Apocytochr_F_C]
MNC5690385	[PF01425.8;Amidase]
MNC5690381	[PF00248.9;Aldo_ket_red]
MNC5695872	[PF02779.10;Transket_pyr]
MNC5695875	[PF00258.11;Flavodoxin_1]
MNC5692934	[PF01990.6;ATP-synt_F]
MNC5689206	[PF00557.10;Peptidase_M24]
MNC5689203	[PF04144.3;SCAMP]
MNC5689202	[PF01883.7;DUF59]
MNC5689199	[PF00011.8;HSP20]
MNC5689200	[PF00076.9;RRM_1]
MNC5692716	[PF00561.8;Abhydrolase_1]
MNC5692714	[PF04674.2;Phi_1]
MNC5692360	[PF00069.12;Pkinase]
MNC5688084	[PF03357.8;SNF7]
MNC5695342	[PF00076.9;RRM_1]
MNC5693272	[PF01190.7;Pollen_Ole_e_I]
MNC5693276	[PF01103.11;Bac_surface_Ag]
MNC5694667	[PF00335.9;Tetraspannin]
MNC5694668	[PF00011.8;HSP20]
MNC5688220	[PF00628.15;PHD]
MNC5688221	[PF07732.2;Cu-oxidase_3]
MNC5697248	[PF00150.7;Cellulase]
MNC5697247	[PF00240.11;ubiquitin]
MNC5697242	[PF00719.8;Pyrophosphatase]
MNC5697244	[PF01248.11;Ribosomal_L7Ae]
MNC5697243	[PF02990.5;EMP70]
MNC5697754	[PF00234.9;Tryp_alpha_amyl]
MNC5697755	[PF00195.9;Chal_sti_synt_N]
MNC5697750	[PF03030.5;H_PPase]
MNC5697749	[PF00195.9;Chal_sti_synt_N]
MNC5697752	[PF00036.17;efhand]
MNC5697751	[PF00012.7;HSP70]
MNC5697758	[PF00274.8;Glycolytic]
MNC5697757	[PF00276.9;Ribosomal_L23]
MNC5692486	[PF00295.7;Glyco_hydro_28]
MNC5696174	[PF03005.5;DUF231]
MNC5698193	[PF02705.5;K_trans]
MNC5698195	[PF02042.5;RWP-RK]
MNC5698196	[PF02181.10;FH2]
MNC5690173	[PF00650.8;CRAL_TRIO]
MNC5695329	[PF00262.7;Calreticulin]
MNC5696421	[PF00862.9;Sucrose_synth]
MNC5696422	[PF05193.7;Peptidase_M16_C]
MNC5696419	[PF07731.1;Cu-oxidase_2]
MNC5696425	[PF03242.3;LEA_3]
MNC5696426	[PF00231.8;ATP-synt]
MNC5696423	[PF03031.7;NIF]
MNC5696428	[PF01283.8;Ribosomal_S26e]
MNC5693911	[PF03208.6;PRA1]
MNC5693916	[PF00407.8;Bet_v_I]
MNC5693918	[PF00759.8;Glyco_hydro_9]
MNC5696688	[PF03552.3;Cellulose_synt]
MNC5688862	[PF00544.8;Pec_lyase_C]
MNC5690132	[PF00201.8;UDPGT]
MNC5690129	[PF00782.9;DSPc]
MNC5690130	[PF00443.15;UCH]
MNC5690135	[PF01738.6;DLH]
MNC5690136	[PF01603.8;B56]
MNC5690134	[PF01246.9;Ribosomal_L24e]
MNC5688863	[PF00831.9;Ribosomal_L29]
MNC5693425	[PF05564.2;Auxin_repressed]
MNC5693421	[PF01667.6;Ribosomal_S27e]
MNC5693420	[PF01915.11;Glyco_hydro_3_C]
MNC5693428	[PF03947.6;Ribosomal_L2_C]
MNC5689595	[PF00230.8;MIP]
MNC5689594	[PF01169.8;UPF0016]
MNC5689598	[PF01096.8;TFIIS_C]
MNC5695154	[PF00481.9;PP2C]
MNC5695153	[PF00076.9;RRM_1]
MNC5695155	[PF02298.7;Cu_bind_like]
MNC5695150	[PF01678.7;DAP_epimerase]
MNC5690356	[PF01425.8;Amidase]
MNC5695157	[PF00266.8;Aminotran_5]
MNC5691680	[PF01363.10;FYVE]
MNC5691679	[PF02446.5;4a_glucanotrans]
MNC5691682	[PF00237.8;Ribosomal_L22]
MNC5691681	[PF00847.8;AP2]
MNC5691685	[PF00271.16;Helicase_C]
MNC5691688	[PF03018.4;Dirigent]
MNC5690352	[PF00639.8;Rotamase]
MNC5697057	[PF00149.14;Metallophos]
MNC5697058	[PF01031.8;Dynamin_M]
MNC5697055	[PF06522.1;B12D]
MNC5697054	[PF00071.11;Ras]
MNC5697049	[PF00108.10;Thiolase_N]
MNC5697050	[PF00163.7;Ribosomal_S4]
MNC5689812	[PF03271.5;EB1]
MNC5689810	[PF00026.12;Asp]
MNC5697668	[PF03464.3;eRF1_2]
MNC5697667	[PF01370.8;Epimerase]
MNC5697156	[PF03953.6;Tubulin_C]
MNC5697659	[PF00112.10;Peptidase_C1]
MNC5697154	[PF00004.15;AAA]
MNC5691958	[PF00722.9;Glyco_hydro_16]
MNC5694331	[PF00481.9;PP2C]
MNC5694332	[PF00504.11;Chloroa_b-bind]
MNC5694334	[PF02845.5;CUE]
MNC5691950	[PF03083.5;MtN3_slv]
MNC5693113	[PF01370.8;Epimerase]
MNC5697151	[PF03953.6;Tubulin_C]
MNC5697666	[PF00076.9;RRM_1]
MNC5697665	[PF01360.9;Monooxygenase]
MNC5692246	[PF01596.7;Methyltransf_3]
MNC5687867	[PF00056.10;Ldh_1_N]
MNC5697712	[PF00179.14;UQ_con]
MNC5697709	[PF00183.8;HSP90]
MNC5697715	[PF00023.15;Ank]
MNC5697716	[PF01251.7;Ribosomal_S7e]
MNC5697713	[PF01015.7;Ribosomal_S3Ae]
MNC5694938	[PF00501.13;AMP-binding]
MNC5687860	[PF01370.8;Epimerase]
MNC5697717	[PF00891.7;Methyltransf_2]
MNC5687866	[PF00665.12;rve]
MNC5687026	[PF00561.8;Abhydrolase_1]
MNC5687027	[PF00201.8;UDPGT]
MNC5687028	[PF00892.8;DUF6]
MNC5697987	[PF03552.3;Cellulose_synt]
MNC5697988	[PF02485.8;Branch]
MNC5697112	[PF00240.11;ubiquitin]
MNC5697979	[PF00071.11;Ras]
MNC5697981	[PF01490.7;Aa_trans]
MNC5697983	[PF00240.11;ubiquitin]
MNC5697984	[PF00400.17;WD40]
MNC5697985	[PF00860.9;Xan_ur_permease]
MNC5697986	[PF02136.9;NTF2]
MNC5697114	[PF00407.8;Bet_v_I]
MNC5689917	[PF00314.7;Thaumatin]
MNC5689913	[PF03587.4;Mra1]
MNC5689914	[PF04095.4;NAPRTase]
MNC5689915	[PF00013.15;KH_1]
MNC5689909	[PF00632.11;HECT]
MNC5689911	[PF01373.7;Glyco_hydro_14]
MNC5689912	[PF01106.7;NifU]
MNC5691088	[PF00149.14;Metallophos]
MNC5688567	[PF02458.5;Transferase]
MNC5688566	[PF01612.10;3_5_exonuc]
MNC5697662	[PF00234.9;Tryp_alpha_amyl]
MNC5688559	[PF00300.10;PGAM]
MNC5691345	[PF02298.7;Cu_bind_like]
MNC5691347	[PF03171.8;2OG-FeII_Oxy]
MNC5697116	[PF04852.2;DUF640]
MNC5693815	[PF00234.9;Tryp_alpha_amyl]
MNC5696898	[PF00258.11;Flavodoxin_1]
MNC5693813	[PF00067.10;p450]
MNC5696892	[PF00258.11;Flavodoxin_1]
MNC5696896	[PF00076.9;RRM_1]
MNC5696895	[PF01264.9;Chorismate_synt]
MNC5693818	[PF03018.4;Dirigent]
MNC5691509	[PF00201.8;UDPGT]
MNC5693051	[PF02893.9;GRAM]
MNC5690588	[PF00504.11;Chloroa_b-bind]
MNC5690587	[PF01434.6;Peptidase_M41]
MNC5690581	[PF00892.8;DUF6]
MNC5690580	[PF02458.5;Transferase]
MNC5690579	[PF03031.7;NIF]
MNC5693052	[PF02984.5;Cyclin_C]
MNC5692834	[PF01373.7;Glyco_hydro_14]
MNC5692833	[PF00067.10;p450]
MNC5692836	[PF03364.6;Polyketide_cyc]
MNC5692835	[PF01344.12;Kelch_1]
MNC5692838	[PF00011.8;HSP20]
MNC5693049	[PF00118.12;Cpn60_TCP1]
MNC5687233	[PF00736.8;EF1_GNE]
MNC5694698	[PF00538.7;Linker_histone]
MNC5687232	[PF00153.13;Mito_carr]
MNC5694692	[PF00097.10;zf-C3HC4]
MNC5694691	[PF00120.11;Gln-synt_C]
MNC5694689	[PF05447.2;CRD1]
MNC5694696	[PF00405.7;Transferrin]
MNC5694693	[PF00012.7;HSP70]
MNC5695853	[PF00182.8;Glyco_hydro_19]
MNC5695856	[PF01092.7;Ribosomal_S6e]
