LinJ03.0010:f:601712-603886
"MM150606 Cy3";4352.5;246.780266634105;12245.5;108.187337521542;-41.4260796404275;0.000582200976620525
"JM150606B Cy3";3880;350.724963468528;3746;60.8111831820431;0.532379355056228;0.647687894527614
"082306B Cy5";4504;277.185858225127;5312;700.035713374682;-1.51767934990283;0.268395009131833
"083006B Cy5";3550;79.1959594928933;3894.5;26.1629509039023;-5.84129082499068;0.0280791932969204
"MM150606 Cy5";6773.5;369.816846560564;6624.5;553.664609669067;0.316481254962947;0.781615525027182
"JM150606B Cy5";3554.5;525.380338421605;8092.5;207.182286887658;-11.3636766356062;0.00765513755121692
LinJ11.1250:f:5307734-5313088
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";698.5;57.2756492761104;844;2.82842712474619;-3.5882200455987;0.0696510660745413
"083006B Cy3";812;67.8822509939086;941;0;-2.6875;0.115046477983867
"MM150606 Cy3";565;50.9116882454314;1086.5;399.515331370399;-1.83120877725933;0.208545354688391
"JM150606B Cy3";1114;39.5979797464467;679.5;99.7020561473032;5.72789987225726;0.0291532943317331
"082306B Cy5";881.5;21.9203102167830;1567.5;474.468650176173;-2.04253074934116;0.177836784715544
"083006B Cy5";472.5;27.5771644662754;585;124.450793488832;-1.24813304897692;0.338289671192415
"MM150606 Cy5";1382;132.936074863071;1945;138.592929112563;-4.14598700467694;0.0535462233278374
"JM150606B Cy5";913;66.4680374315355;630;9.89949493661167;5.95558553916073;0.0270547086094693
LinJ15.0790:r:7500544-7504266
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";1725.5;270.821897194448;1263.5;242.537625946986;1.79718245994011;0.214136821130869
"083006B Cy3";2856;188.090403795622;1840;26.8700576850888;7.56232094405823;0.017040303326616
"MM150606 Cy3";2028.5;430.628029742607;1311.5;53.0330085889911;2.33702415168257;0.144451103083078
"JM150606B Cy3";2132;29.698484809835;2281.5;24.7487373415292;-5.46900387141941;0.0318451934002794
"082306B Cy5";3457;28.2842712474619;2257;492.146319705837;3.44259519552821;0.0750076183086601
"083006B Cy5";1141;56.5685424949238;815;82.0243866176395;4.62702358979983;0.0436715822763251
"MM150606 Cy5";4896.5;385.373195746668;4478.5;497.096067174143;0.939839744855152;0.446511011172645
"JM150606B Cy5";1394;52.3259018078045;1645;36.7695526217005;-5.55043556518992;0.030960257273362
LinJ19.0630:f:10294671-10296509
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";2115;93.3380951166243;2292;200.818325856979;-1.13035024672046;0.37564875213728
"083006B Cy3";3006.5;583.363094478902;3098;72.1248916810278;-0.220142022922575;0.846188452054376
"MM150606 Cy3";2333;14.1421356237310;2714.5;307.591449816148;-1.75217202058375;0.221841281504639
"JM150606B Cy3";1801;172.534054609518;2653;452.548339959390;-2.48782719070834;0.130644831528026
"082306B Cy5";3285;137.178715550190;3582;101.823376490863;-2.45857894517505;0.133174558953946
"083006B Cy5";1366.5;170.412734265958;1453;26.8700576850888;-0.709081902220836;0.551787900940160
"MM150606 Cy5";5571;278.600071787500;5962;118.79393923934;-1.82572792589468;0.209432847322976
"JM150606B Cy5";1457.5;193.040151263927;1899;222.031529292576;-2.12217312502142;0.167846829103062
LinJ21.0610:r:12126638-12128617
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";2317.5;85.5599205235722;1215.5;64.3467170879758;14.5574509706459;0.00468563589437208
"083006B Cy3";1591;595.383909759073;1170.5;9.19238815542512;0.998693326378257;0.423152998405744
"MM150606 Cy3";1240;247.487373415292;930.5;118.086832458153;1.59618275069755;0.251516959218755
"JM150606B Cy3";1356;265.872149726142;1279.5;72.8319984622144;0.392456084759786;0.732597156015526
"082306B Cy5";2016;220.617315730203;1450;128.693434175952;3.13396703787509;0.0885065544084461
"083006B Cy5";1074.5;266.579256507328;865;11.3137084989848;1.11040626432286;0.382440350977356
"MM150606 Cy5";4127.5;590.434162290767;2636;36.7695526217005;3.56554777043827;0.070447956503596
"JM150606B Cy5";1410.5;48.7903679018718;1228;14.1421356237310;5.08072787856350;0.0366240413240106
LinJ23.0240:f:13443645-13448333
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";571;50.9116882454314;1021.5;94.0452018978108;-5.95748868257122;0.0270381205208777
"083006B Cy3";691.5;77.0746391493337;1101;124.450793488832;-3.95615244530262;0.0583562856570652
"MM150606 Cy3";1834;52.3259018078045;1479;36.7695526217005;7.85021763204152;0.0158423559707935
"JM150606B Cy3";1712.5;225.567063198509;1003;246.073159852919;3.00580955443923;0.0951482404783794
"082306B Cy5";591;110.308657865101;1616.5;163.341666454092;-7.35806356312224;0.0179737910914238
"083006B Cy5";435;113.137084989848;668.5;23.3345237791561;-2.85858249380364;0.103689758563110
"MM150606 Cy5";4384.5;61.5182899632296;3419;302.641702347842;4.42126539784128;0.0475388798023337
"JM150606B Cy5";1154;152.735064736294;811.5;95.459415460184;2.68925388075688;0.114921333080271
LinJ23.0290:f:13460442-13465151
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";1390.5;127.986327394765;2086.5;170.412734265958;-4.61844622937556;0.0438234289112201
"083006B Cy3";1696;147.078210486802;1398;32.5269119345812;2.79778291623279;0.107536392332340
"MM150606 Cy3";1067;364.867099092259;3011.5;748.826081276554;-3.30129519149369;0.0807917478563378
"JM150606B Cy3";964.5;106.773123959169;3363.5;651.24534547281;-5.14091822159178;0.0358167180705525
"082306B Cy5";1928.5;212.839141137151;3060.5;234.052344572747;-5.06040885032393;0.0369026312995398
"083006B Cy5";861.5;48.7903679018718;747.5;27.5771644662754;2.87664242359697;0.102584736564278
"MM150606 Cy5";2124;838.628642487245;7200;1145.51298552221;-5.05644660434746;0.0369573201141342
"JM150606B Cy5";956;178.19090885901;2562;789.131167804187;-2.80745205971458;0.106911281889497
LinJ23.0420:f:13509239-13512979
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";871;18.3847763108502;1891;186.676190233249;-7.69006871385014;0.0164926691792537
"083006B Cy3";752;31.1126983722081;3614;2390.02092041053;-1.69334765142251;0.232468092254021
"MM150606 Cy3";1507.5;62.9325035256027;1476.5;290.620887067671;0.147434452217066;0.89631005126502
"JM150606B Cy3";1223;125.865007051205;1409.5;200.111219075793;-1.11568187571247;0.380630205305873
"082306B Cy5";1070.5;259.508188695463;2110;147.078210486802;-4.92835328567939;0.0387916006911808
"083006B Cy5";510.5;34.6482322781408;2047;1298.24805025850;-1.6731515119879;0.236269440385089
"MM150606 Cy5";3403.5;504.167134986008;3027.5;88.3883476483184;1.03885439996833;0.407982653021182
"JM150606B Cy5";1117;39.5979797464467;1412.5;273.650324319194;-1.51139032337478;0.269808682731619
LinJ25.0540:r:15166757-15168727
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";970.5;167.584307141212;884;43.8406204335659;0.706193042399754;0.553248903046164
"083006B Cy3";722.5;147.785317267988;649;86.2670273047588;0.607432830491108;0.605344595226053
"MM150606 Cy3";1655;340.825468531916;1283.5;37.476659402887;1.53225843673616;0.265153809283397
"JM150606B Cy3";1081;59.39696961967;1221.5;156.270598642227;-1.18853525891531;0.356618817277129
"082306B Cy5";1083;59.39696961967;963;55.1543289325507;2.09369569036086;0.171329209534958
"083006B Cy5";478.5;106.773123959169;437.5;36.0624458405139;0.514493504962206;0.658119591262589
"MM150606 Cy5";3354;96.1665222413705;3240;162.634559672906;0.853292457048502;0.48338486462917
"JM150606B Cy5";746;9.89949493661167;1063.5;33.2340187157677;-12.9484023207932;0.00591157558456918
LinJ26.2650:f:17100851-17104654
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";4149;65.0538238691624;6274;197.989898732233;-14.4201247622217;0.00477466444704307
"083006B Cy3";7120;1592.40447123210;7785.5;1416.33488271665;-0.441622441534578;0.701921352736342
"MM150606 Cy3";1560;53.7401153701776;2611;138.592929112563;-9.99909934394492;0.00985420584785492
"JM150606B Cy3";3015;323.854905783439;3522;393.151370339720;-1.40765465114206;0.294538663469641
"082306B Cy5";7069.5;965.200756319637;10459;354.967604155647;-4.66108408810641;0.0430761565835834
"083006B Cy5";2645.5;891.661651076236;2769.5;614.47579285111;-0.161940003990396;0.886234558245693
"MM150606 Cy5";4569.5;314.662517628014;7090;965.907863100824;-3.50884230004499;0.07249966263112
"JM150606B Cy5";1962.5;26.1629509039023;2229;62.2253967444162;-5.5833714805547;0.0306126213344084
LinJ27.0380:f:17240623-17242689
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";1022;127.279220613579;1042.5;84.1457069611992;-0.1900083589692;0.866840297436016
"083006B Cy3";805.5;88.3883476483184;863.5;51.618795026618;-0.80135420364668;0.507003019597257
"MM150606 Cy3";1447.5;102.530483272049;1080;161.220346110533;2.72018936973784;0.112745163610500
"JM150606B Cy3";1555;0;2146.5;590.434162290767;-1.41676646706587;0.292255855943675
"082306B Cy5";961;343.653895656662;1115;284.256926036992;-0.488335533998614;0.673605724424254
"083006B Cy5";596.5;75.6604255869606;506.5;14.8492424049175;1.65075103329596;0.240580686886864
"MM150606 Cy5";3518.5;205.768073325285;3586.5;371.231060122937;-0.226570394702365;0.841807839716833
"JM150606B Cy5";1071.5;40.3050865276332;1682.5;267.993470069702;-3.18841681246853;0.0858843320117417
LinJ27.0550:r:17414952-17420483
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";1439;265.872149726142;2705;298.399061660723;-4.47976732454247;0.0463898439267629
"083006B Cy3";3153;500.631601080076;5185;130.107647738325;-5.55556339595134;0.0309057515167125
"MM150606 Cy3";1264.5;161.927452891719;3548.5;60.1040764008565;-18.7009054015162;0.00284719273183743
"JM150606B Cy3";3060.5;1447.44758108886;2768;585.484414822461;0.264931279122004;0.815868419149046
"082306B Cy5";4091;906.510893481154;8727;1764.93852584162;-3.30436797054703;0.080659241145246
"083006B Cy5";1035.5;123.743686707646;1512.5;95.459415460184;-4.31634441032887;0.0497065184855184
"MM150606 Cy5";3516.5;99.7020561473032;7853;79.1959594928933;-48.1647548351168;0.000430785017270524
"JM150606B Cy5";2252;1019.64797847100;2087.5;65.7609306503489;0.227682315152287;0.841051060888861
LinJ29.1960:r:20338849-20340240
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";2031;335.168614282424;1656.5;9.19238815542512;1.57957481448107;0.254971959558662
"083006B Cy3";1780.5;19.0918830920368;1502;74.953318805774;5.09212251021177;0.0364691648253457
"MM150606 Cy3";1426.5;57.2756492761104;1538.5;137.885822331377;-1.06083725352388;0.39993589534019
"JM150606B Cy3";1529;43.8406204335659;1590.5;7.77817459305202;-1.95336551167317;0.190000265020691
"082306B Cy5";2290.5;218.495995386643;1499;309.712770159708;2.9532091624934;0.0980809517863275
"083006B Cy5";1430;43.8406204335659;1323.5;33.2340187157677;2.73775301861703;0.111535430646733
"MM150606 Cy5";2828;165.462986797652;3371;312.541197284454;-2.17147890758577;0.162042026007608
"JM150606B Cy5";1340.5;58.6898628384834;1537;31.1126983722081;-4.18345588194107;0.0526654492869324
LinJ30.1700:f:21536374-21537699
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";756;185.261976670875;2690.5;70.0035713374682;-13.8138932651628;0.00519960385242221
"083006B Cy3";819.5;187.383297014435;2084.5;144.956890143242;-7.55139775258974;0.017088379650204
"MM150606 Cy3";1564;108.894444302728;1626.5;275.064537881567;-0.298775569157024;0.793296358994817
"JM150606B Cy3";1478.5;54.4472221513642;1751.5;427.799602617861;-0.895257619505944;0.465123174382833
"082306B Cy5";759.5;135.057395206631;2393.5;197.282791951047;-9.66534011461308;0.0105356146694696
"083006B Cy5";667;60.8111831820431;1367;89.095454429505;-9.17722081668437;0.0116661001225854
"MM150606 Cy5";2721.5;47.3761543394987;3544.5;60.1040764008565;-15.2081791927530;0.00429576075487390
"JM150606B Cy5";1304;70.7106781186548;1584;395.979797464467;-0.984427575508482;0.428690389449459
LinJ30.2950:r:22198913-22199998
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";7844;537.401153701776;6332;288.499566724111;3.50571527173684;0.0726153037052257
"083006B Cy3";11059.5;707.813887967734;10214;432.749350086167;1.44128013537909;0.286222779720289
"MM150606 Cy3";5137.5;515.480843484993;6658;241.830519165799;-3.77653263988059;0.0635089959089925
"JM150606B Cy3";212;36.7695526217005;21640;1650.38722728940;-18.3570555933503;0.00295437775680335
"082306B Cy5";12049.5;453.255446740577;11502.5;924.188563010818;0.751516503301641;0.530739809815909
"083006B Cy5";4101.5;167.584307141212;4392.5;195.868578388674;-1.59648102845487;0.251455458424887
"MM150606 Cy5";30377.5;2375.17167800561;35753.5;962.372329194891;-2.96668118800647;0.0973176960402924
"JM150606B Cy5";181;50.9116882454314;7180;140.007142674936;-66.4405471817734;0.000226457159661520
LinJ31.1210:r:23221742-23224267
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";2993;517.602163828553;1624.5;369.816846560564;3.04232640642687;0.0931852232007316
"083006B Cy3";4041;640.638743755012;3133;1030.96168696999;1.05792590566771;0.400991289033914
"MM150606 Cy3";4173;428.506709399048;5606.5;1557.75623895396;-1.25479832599157;0.336310211746938
"JM150606B Cy3";4460;410.121933088198;5557.5;1153.29116011526;-1.26801083081537;0.332427192141770
"082306B Cy5";3725;575.58491988585;2715.5;183.140656327316;2.36358372217049;0.141877167704717
"083006B Cy5";1440.5;187.383297014435;1127.5;427.799602617861;0.94777797745879;0.443280784617553
"MM150606 Cy5";13522;1518.86536598870;16703.5;2437.39707475003;-1.56666585156106;0.257699542262913
"JM150606B Cy5";2733.5;317.49094475276;3301;69.2964645562817;-2.46969750993570;0.132204917595970
LinJ31.1650:r:23414010-23418623
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";991.5;178.898015640197;2669.5;362.745778748699;-5.86718666450893;0.027842108079601
"083006B Cy3";1310.5;357.088924499206;2979.5;528.208765546351;-3.70196218808958;0.0658436093959885
"MM150606 Cy3";2086;57.9827560572969;3021;711.349421873667;-1.85270240027598;0.205112716079051
"JM150606B Cy3";2145.5;177.483802077823;3622;301.227488785469;-5.97233889132653;0.02690919907302
"082306B Cy5";1187;62.2253967444162;3696;400.222438151586;-8.76047272428498;0.0127807504940185
"083006B Cy5";839;15.5563491861040;1858;260.215295476649;-5.52817355266492;0.0311985422980213
"MM150606 Cy5";4857.5;94.0452018978108;6982;1258.65007051205;-2.38044296050927;0.140276172701741
"JM150606B Cy5";2078.5;61.5182899632296;3124;381.837661840736;-3.82292464815058;0.0621167168912324
LinJ31.1660:r:23420411-23425072
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";1872;79.1959594928933;2330.5;707.813887967734;-0.910402995968722;0.458710034462659
"083006B Cy3";1237;483.661038331598;2080;412.950360212944;-1.87459274213089;0.201693449195852
"MM150606 Cy3";2214.5;368.402632998191;1998.5;236.880771697493;0.697440382217238;0.55769731590969
"JM150606B Cy3";1226;62.2253967444162;1214.5;111.015764646288;0.127791583169810;0.910004380587526
"082306B Cy5";1964;91.9238815542512;2199;250.315800540038;-1.24630296501684;0.338835605491656
"083006B Cy5";834.5;419.314321243623;1292;8.48528137423857;-1.54268585432428;0.26286605835232
"MM150606 Cy5";2842;22.6274169979695;3065;69.2964645562817;-4.32622483260181;0.0494962929991656
"JM150606B Cy5";1540.5;161.927452891719;1389.5;67.175144212722;1.21811829838172;0.347377413701879
LinJ32.3640:f:26171279-26173393
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";4456.5;207.182286887658;5526;429.920922961421;-3.1692784428005;0.0867931754370845
"083006B Cy3";7808.5;736.098159215196;7424;1402.89985387411;0.34322365071994;0.764150760222989
"MM150606 Cy3";20672;1472.19631843039;5087.5;457.498087427696;14.2963031524863;0.00485712602091123
"JM150606B Cy3";25216;3275.31861045609;6781.5;1044.39671581253;7.58342878206616;0.0169479693761164
"082306B Cy5";6832.5;120.915259582900;8779.5;484.368145112785;-5.5154147574081;0.0313363304504251
"083006B Cy5";3329;176.776695296637;3498;369.109739779378;-0.583989001865538;0.618319512294233
"MM150606 Cy5";38293.5;4462.5508960683;14468;2624.78037176446;6.5081652798528;0.0228047839297409
"JM150606B Cy5";12667.5;1375.32268940784;3941;1069.14545315406;7.08443913145037;0.0193482003399238
LinJ33.0340:r:26648879-26650885
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";4526;268.700576850888;2551.5;143.542676580869;9.16616389349375;0.0116937701127536
"083006B Cy3";4045.5;218.495995386643;2693.5;152.027957955108;7.1831108359096;0.0188351131443026
"MM150606 Cy3";1576.5;242.537625946986;2219;101.823376490863;-3.45428859448219;0.0745559319168902
"JM150606B Cy3";3047;272.943217538007;176.5;17.6776695296637;14.8419604627225;0.00450891876440354
"082306B Cy5";5526.5;506.995562110755;3481.5;101.116269709676;5.59414882227519;0.0305001184330727
"083006B Cy5";1750.5;249.608693758851;1490.5;142.128463018496;1.28011271547838;0.328917724364444
"MM150606 Cy5";8009;421.435641587182;8390.5;440.527524679219;-0.884971583462454;0.469532121098572
"JM150606B Cy5";2061.5;457.498087427696;274.5;60.1040764008565;5.47689457393274;0.0317578208392044
LinJ33.1860:f:27256747-27258669
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";3374.5;409.414826307011;4750.5;432.042243304981;-3.26933557928327;0.0821886684287415
"083006B Cy3";1946.5;92.6309883354377;4308.5;392.444263558534;-8.28407398584958;0.0142608004637731
"MM150606 Cy3";826;70.7106781186548;3509.5;129.400540957138;-25.7360495797384;0.00150637829698504
"JM150606B Cy3";1261.5;395.27269068328;2346;41.0121933088198;-3.85942449528653;0.0610522460324806
"082306B Cy5";2671;7.07106781186548;4961.5;556.493036793813;-5.82036878388558;0.0282729284889182
"083006B Cy5";1366.5;135.057395206631;2684.5;78.4888527117068;-11.9323668151957;0.00695025397883883
"MM150606 Cy5";2673;272.943217538007;5696.5;53.0330085889911;-15.378207965822;0.00420188851468875
"JM150606B Cy5";1351;347.896536343781;1955.5;441.941738241592;-1.519956499998;0.267885457129013
LinJ33.2840:f:27936614-27940627
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";182.5;60.1040764008565;861;55.1543289325507;-11.7627030975492;0.00715003832275279
"083006B Cy3";196.5;2.12132034355964;653;15.5563491861040;-41.1194519738384;0.000590908570448801
"MM150606 Cy3";750;16.9705627484771;1056.5;57.2756492761104;-7.25608942086718;0.0184685257518548
"JM150606B Cy3";134.5;16.2634559672906;687.5;92.6309883354377;-8.31555442826312;0.0141553072242222
"082306B Cy5";367;113.137084989848;815.5;183.140656327316;-2.9464365113044;0.0984678753573963
"083006B Cy5";267.5;89.8025612106915;596.5;120.915259582900;-3.08916783320317;0.0907507570950455
"MM150606 Cy5";1437;121.622366364086;1674.5;150.613744392735;-1.73499848348703;0.224876841181858
"JM150606B Cy5";186;60.8111831820431;762.5;102.530483272049;-6.83926812409866;0.0207166489221867
LinJ33.3050:f:28015462-28018311
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";764;29.698484809835;554.5;146.371103705615;1.98373341469984;0.185735139267908
"083006B Cy3";854;29.698484809835;422;148.492424049175;4.03438906569979;0.0563005611851585
"MM150606 Cy3";938.5;3.53553390593274;1057;255.97265478953;-0.654633691501286;0.579926532883108
"JM150606B Cy3";1226;714.177848998413;800.5;555.07882323144;0.665265155806072;0.574332413606715
"082306B Cy5";858;22.6274169979695;498;26.8700576850888;14.4930542801125;0.00472707214233708
"083006B Cy5";391;24.0416305603426;454.5;119.501046020527;-0.736717928510211;0.537992394413969
"MM150606 Cy5";1724.5;40.3050865276332;1758.5;23.3345237791561;-1.03243837566169;0.410365220723598
"JM150606B Cy5";1079;364.867099092259;1133.5;716.299169341973;-0.0958790722067315;0.932358533206067
LinJ34.0690:f:28310216-28316485
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";703;151.320851173921;1007.5;50.2045814642449;-2.70101711209268;0.11408692521993
"083006B Cy3";1025;35.3553390593274;2434.5;499.924494298889;-3.97733621693075;0.0577890167409273
"MM150606 Cy3";1626.5;2.12132034355964;1712.5;60.1040764008565;-2.02227025827701;0.180506276551632
"JM150606B Cy3";1780;79.1959594928933;1773.5;188.797510576808;0.0448989152221033;0.968267660956082
"082306B Cy5";1050.5;228.395490323255;1929.5;70.0035713374682;-5.20378041311565;0.0350012301325035
"083006B Cy5";558;96.1665222413705;970;25.4558441227157;-5.85709638057269;0.0279341347856865
"MM150606 Cy5";4697.5;522.551911296859;4777.5;34.6482322781408;-0.216034422967006;0.848992348684974
"JM150606B Cy5";1481.5;236.880771697493;1473;203.646752981726;0.0384807477815608;0.972800069631733
LinJ34.0860:f:28383964-28384473
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";2260;445.477272147525;2042;271.529003975634;0.590942169425749;0.614447239434522
"083006B Cy3";1435;461.033621333629;860.5;119.501046020527;1.70589537283729;0.230146390498842
"MM150606 Cy3";7506;680.236723501459;10783;1383.10086400089;-3.00674470206355;0.095097237894735
"JM150606B Cy3";2455;499.217387517703;1752.5;48.7903679018718;1.98064801311777;0.186162565258552
"082306B Cy5";1198.5;228.395490323255;1141;234.759451353934;0.248273601723534;0.827088391127077
"083006B Cy5";1768;735.39105243401;968.5;160.513239329346;1.50213438126825;0.271906462294008
"MM150606 Cy5";10761.5;456.083873865323;12255;1466.5394641809;-1.37524230046704;0.302840185175243
"JM150606B Cy5";4642.5;543.765114732455;3250.5;53.0330085889911;3.60318995131753;0.0691320251799998
LinJ34.0950:r:28424389-28428414
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";734;165.462986797652;1360;188.090403795622;-3.53396060497629;0.0715803307613827
"083006B Cy3";1250.5;81.317279836453;1660.5;201.525432638166;-2.66816615684829;0.116438815425178
"MM150606 Cy3";1510;62.2253967444162;1503;21.2132034355964;0.150581166301131;0.894121534905093
"JM150606B Cy3";3495;192.333044482741;2438.5;498.510280736516;2.79626302671387;0.107635123314121
"082306B Cy5";1202.5;41.7193000900063;2152;224.859956417322;-5.87149564147216;0.0278029453562056
"083006B Cy5";505;128.693434175952;647.5;101.116269709676;-1.23132267343072;0.343344118695783
"MM150606 Cy5";6301;135.764501987817;5981;212.132034355964;1.79684565474456;0.214193152263891
"JM150606B Cy5";1289.5;118.086832458153;1333.5;70.0035713374682;-0.453283179429279;0.694775454784874
LinJ36.3580:r:33378067-33380118
Slide;Synt1.Mean;Synt1.SD;Synt2.Mean;Synt2.SD;t;p.value
"082306B Cy3";605;5.65685424949238;1411;339.411254969543;-3.35786699529966;0.0784014219385351
"083006B Cy3";541.5;44.5477272147525;800;26.8700576850888;-7.02702550032572;0.0196563579127415
"MM150606 Cy3";1240;115.965512114594;1639;425.678282274302;-1.27897097733014;0.329246909989711
